representacion,shuffle,m,mPE_null
alturas_MIDI,37,3,2.2973506116807005
alturas_MIDI,37,4,3.796256130792321
alturas_MIDI,37,5,5.045451353833906
alturas_MIDI,37,6,5.47938898522115
alturas_MIDI,37,7,5.580641500203991
alturas_MIDI,38,2,0.9416179496377419
alturas_MIDI,38,3,2.326240624479487
alturas_MIDI,38,4,3.837294005869305
alturas_MIDI,38,5,5.00017736231219
alturas_MIDI,38,6,5.465191643177399
alturas_MIDI,38,7,5.585814240357424
alturas_MIDI,39,2,0.8973862350032538
alturas_MIDI,39,3,2.2298480034716115
alturas_MIDI,39,4,3.7664837057659053
alturas_MIDI,39,5,4.944403355615097
alturas_MIDI,39,6,5.473553504063925
alturas_MIDI,39,7,5.585814240357424
alturas_MIDI,40,2,0.9527283173345189
alturas_MIDI,40,3,2.2964784307238792
alturas_MIDI,40,4,3.8470246097541487
alturas_MIDI,40,5,5.012896917142145
alturas_MIDI,40,6,5.484542495857283
alturas_MIDI,40,7,5.580641500203991
alturas_MIDI,41,2,0.9298253193056767
alturas_MIDI,41,3,2.297675591965359
alturas_MIDI,41,4,3.8183210994490357
alturas_MIDI,41,5,5.041724395110854
alturas_MIDI,41,6,5.496794677515291
alturas_MIDI,41,7,5.575468760050559
alturas_MIDI,42,2,0.9675612245502929
alturas_MIDI,42,3,2.3628589952188177
alturas_MIDI,42,4,3.8721690545754894
alturas_MIDI,42,5,5.028515456331027
alturas_MIDI,42,6,5.469081963948883
alturas_MIDI,42,7,5.585814240357424
alturas_MIDI,43,2,0.9579498085971287
alturas_MIDI,43,3,2.3310629368922307
alturas_MIDI,43,4,3.8293898269193583
alturas_MIDI,43,5,4.94846932854561
alturas_MIDI,43,6,5.43621573974634
alturas_MIDI,43,7,5.5496050592833965
alturas_MIDI,44,2,0.8740390478108013
alturas_MIDI,44,3,2.165034007907963
alturas_MIDI,44,4,3.6793559139205656
alturas_MIDI,44,5,4.883451977974167
alturas_MIDI,44,6,5.429117068724466
alturas_MIDI,44,7,5.568343601450244
alturas_MIDI,45,2,0.9573190866824457
alturas_MIDI,45,3,2.32227028039252
alturas_MIDI,45,4,3.8382577279174432
alturas_MIDI,45,5,4.950091638098829
alturas_MIDI,45,6,5.402302394443602
alturas_MIDI,45,7,5.552825380989947
alturas_MIDI,46,2,0.9864728230086721
alturas_MIDI,46,3,2.4002006303571974
alturas_MIDI,46,4,3.8818953263146825
alturas_MIDI,46,5,4.993940425155062
alturas_MIDI,46,6,5.4671368035631405
alturas_MIDI,46,7,5.565123279743694
alturas_MIDI,47,2,0.9465111547059255
alturas_MIDI,47,3,2.3368560263855818
alturas_MIDI,47,4,3.887285126146999
alturas_MIDI,47,5,5.027920066312304
alturas_MIDI,47,6,5.45293946151939
alturas_MIDI,47,7,5.570296019897126
alturas_MIDI,48,2,0.986472823008672
alturas_MIDI,48,3,2.327537130933124
alturas_MIDI,48,4,3.8415053392451934
alturas_MIDI,48,5,4.982579759733799
alturas_MIDI,48,6,5.479388985221149
alturas_MIDI,48,7,5.580641500203991
alturas_MIDI,49,2,0.9732329159152072
alturas_MIDI,49,3,2.3320927782401046
alturas_MIDI,49,4,3.8530735469026105
alturas_MIDI,49,5,4.99137525075296
alturas_MIDI,49,6,5.43001510801001
alturas_MIDI,49,7,5.549605059283396
alturas_MIDI,50,2,0.9416179496377419
alturas_MIDI,50,3,2.3003024875761056
alturas_MIDI,50,4,3.7852677165079087
alturas_MIDI,50,5,4.997816337331094
alturas_MIDI,50,6,5.463246482791657
alturas_MIDI,50,7,5.570296019897126
alturas_MIDI,51,2,0.9415586281197454
alturas_MIDI,51,3,2.2838128575255476
alturas_MIDI,51,4,3.777634466958138
alturas_MIDI,51,5,4.918241853866708
alturas_MIDI,51,6,5.470345153813533
